trade_no,side,entry_time,exit_time,entry_price,exit_price,quantity,exit_reason,gross_pnl,fee_usd,net_pnl
58,LONG,2025-07-02 20:00:00+00:00,2025-07-03 13:00:00+00:00,3359.27,3328.5,0.5953674459034255,REVERSE_SIGNAL,-18.31945631044839,1.3935881902913432,-19.713044500739734
59,SHORT,2025-07-03 13:00:00+00:00,2025-07-06 09:00:00+00:00,3328.5,3346.81,0.6008712633318312,REVERSE_SIGNAL,-11.001952831605795,1.403850683491062,-12.405803515096856
60,LONG,2025-07-06 09:00:00+00:00,2025-07-06 16:00:00+00:00,3346.81,3339.64,0.5975839680173061,REVERSE_SIGNAL,-4.284677050684128,1.3985003630322606,-5.683177413716389
61,SHORT,2025-07-06 16:00:00+00:00,2025-07-07 18:00:00+00:00,3339.64,3336.2,0.5988669437424393,REVERSE_SIGNAL,2.0601022864740237,1.399278964199734,0.6608233222742896
62,LONG,2025-07-07 18:00:00+00:00,2025-07-08 14:00:00+00:00,3336.2,3318.82,0.5994844433786943,REVERSE_SIGNAL,-10.419039625921501,1.3963533361309273,-11.815392962052428
63,SHORT,2025-07-08 14:00:00+00:00,2025-07-09 15:00:00+00:00,3318.82,3316.99,0.6026238241302632,REVERSE_SIGNAL,1.102801598158612,1.3996140194406446,-0.29681242128203267
64,LONG,2025-07-09 15:00:00+00:00,2025-07-15 16:00:00+00:00,3316.99,3337.31,0.6029562947129777,REVERSE_SIGNAL,12.252071908567807,1.4042882251679987,10.847783683399808
65,SHORT,2025-07-15 16:00:00+00:00,2025-07-16 17:00:00+00:00,3337.31,3354.11,0.5992850529318523,REVERSE_SIGNAL,-10.067988889255227,1.4035237961112395,-11.471512685366466
66,LONG,2025-07-16 17:00:00+00:00,2025-07-17 13:00:00+00:00,3354.11,3323.0,0.5962833657810864,REVERSE_SIGNAL,-18.550375509449676,1.3935073685716926,-19.94388287802137
67,SHORT,2025-07-17 13:00:00+00:00,2025-07-18 08:00:00+00:00,3323.0,3350.64,0.6018657839301835,REVERSE_SIGNAL,-16.635570267830197,1.4058224495937406,-18.04139271742394
68,LONG,2025-07-18 08:00:00+00:00,2025-07-20 10:00:00+00:00,3350.64,3354.34,0.5969008905761287,REVERSE_SIGNAL,2.208533295131839,1.400772986653296,0.807760308478543
69,SHORT,2025-07-20 10:00:00+00:00,2025-07-21 02:00:00+00:00,3354.34,3361.55,0.5962424798917223,REVERSE_SIGNAL,-4.298908280019339,1.4015046178980068,-5.700412897917346
70,LONG,2025-07-21 02:00:00+00:00,2025-07-23 14:00:00+00:00,3361.55,3413.16,0.5949636328479422,REVERSE_SIGNAL,30.7060730912821,1.4107471255819488,29.29532596570015
71,SHORT,2025-07-23 14:00:00+00:00,2025-07-31 09:00:00+00:00,3413.16,3316.15,0.5859672561497263,REVERSE_SIGNAL,56.84468351908481,1.38010436076832,55.46457915831649
72,LONG,2025-07-31 09:00:00+00:00,2025-08-01 02:00:00+00:00,3316.15,3289.94,0.6031090270343621,REVERSE_SIGNAL,-15.807487598570653,1.3944673793405002,-17.201954977911154
73,SHORT,2025-08-01 02:00:00+00:00,2025-08-01 13:00:00+00:00,3289.94,3341.0,0.6079138221365739,REVERSE_SIGNAL,-31.040079758293427,1.4108640279154026,-32.45094378620883
74,LONG,2025-08-01 13:00:00+00:00,2025-08-04 01:00:00+00:00,3341.0,3352.48,0.5986231667165519,REVERSE_SIGNAL,6.872193953906027,1.402405267883867,5.46978868602216
75,SHORT,2025-08-04 01:00:00+00:00,2025-08-04 12:00:00+00:00,3352.48,3370.69,0.5965732830620913,REVERSE_SIGNAL,-10.863599484560705,1.4038022598195963,-12.267401744380301
76,LONG,2025-08-04 12:00:00+00:00,2025-08-05 10:00:00+00:00,3370.69,3360.54,0.5933503229309133,REVERSE_SIGNAL,-6.022505777748823,1.3978921229777879,-7.420397900726611
77,SHORT,2025-08-05 10:00:00+00:00,2025-08-05 14:00:00+00:00,3360.54,3373.4,0.595142447344772,REVERSE_SIGNAL,-7.6535318728538435,1.4026787361554989,-9.056210609009343
78,LONG,2025-08-05 14:00:00+00:00,2025-08-06 10:00:00+00:00,3373.4,3361.79,0.5928736586233474,REVERSE_SIGNAL,-6.883263176617139,1.397590857888184,-8.280854034505323
79,SHORT,2025-08-06 10:00:00+00:00,2025-08-07 02:00:00+00:00,3361.79,3381.72,0.5949211580735263,REVERSE_SIGNAL,-11.856778680405283,1.4041498725381418,-13.260928552943424
80,LONG,2025-08-07 02:00:00+00:00,2025-08-11 00:00:00+00:00,3381.72,3381.76,0.5914150195758372,REVERSE_SIGNAL,0.023656600783280916,1.4000082798102742,-1.3763516790269932
81,SHORT,2025-08-11 00:00:00+00:00,2025-08-14 01:00:00+00:00,3381.76,3357.7,0.5914080242240727,REVERSE_SIGNAL,14.229277062831425,1.395019753028009,12.834257309803416
82,LONG,2025-08-14 01:00:00+00:00,2025-08-14 08:00:00+00:00,3357.7,3340.46,0.5956458289900826,REVERSE_SIGNAL,-10.268934091788893,1.396405873067874,-11.665339964856766
83,SHORT,2025-08-14 08:00:00+00:00,2025-08-17 05:00:00+00:00,3340.46,3331.78,0.5987199367751747,REVERSE_SIGNAL,5.196889051208418,1.398181088832077,3.7987079623763407
84,LONG,2025-08-17 05:00:00+00:00,2025-08-18 00:00:00+00:00,3331.78,3322.47,0.6002797303543451,REVERSE_SIGNAL,-5.588604289599194,1.3980439884986404,-6.986648278097834
85,SHORT,2025-08-18 00:00:00+00:00,2025-08-18 01:00:00+00:00,3322.47,3333.77,0.6019617934849676,REVERSE_SIGNAL,-6.802168266380243,1.402380758893233,-8.204549025273476
86,LONG,2025-08-18 01:00:00+00:00,2025-08-18 18:00:00+00:00,3333.77,3328.8,0.5999214102952514,REVERSE_SIGNAL,-2.9816094091672793,1.3989564367067915,-4.380565845874071
87,SHORT,2025-08-18 18:00:00+00:00,2025-08-20 12:00:00+00:00,3328.8,3322.79,0.600817111271329,REVERSE_SIGNAL,3.610910838740818,1.3987361812064407,2.2121746575343773
88,LONG,2025-08-20 12:00:00+00:00,2025-08-21 11:00:00+00:00,3322.79,3322.84,0.6019038217883165,REVERSE_SIGNAL,0.030095191089525308,1.4000105333168813,-1.369915342227356
89,SHORT,2025-08-21 11:00:00+00:00,2025-08-22 15:00:00+00:00,3322.84,3358.92,0.6018947647193365,REVERSE_SIGNAL,-21.716363111073615,1.4076007270888757,-23.123963838162492
90,LONG,2025-08-22 15:00:00+00:00,2025-08-24 21:00:00+00:00,3358.92,3355.78,0.5954294832862944,REVERSE_SIGNAL,-1.8696485775188887,1.3993456229978682,-3.268994200516757
91,SHORT,2025-08-24 21:00:00+00:00,2025-08-26 01:00:00+00:00,3355.78,3365.39,0.5959866260601112,REVERSE_SIGNAL,-5.727431476437474,1.4020046010167533,-7.129436077454227
92,LONG,2025-08-26 01:00:00+00:00,2025-09-02 08:00:00+00:00,3365.39,3492.02,0.5942847634300928,REVERSE_SIGNAL,75.25427959315272,1.4263389978576033,73.82794059529512
93,SHORT,2025-09-02 08:00:00+00:00,2025-09-02 16:00:00+00:00,3492.02,3533.42,0.5727344058739641,REVERSE_SIGNAL,-23.711204403182165,1.4082989215411137,-25.11950332472328
94,LONG,2025-09-02 16:00:00+00:00,2025-09-04 03:00:00+00:00,3533.42,3542.92,0.5660238522451336,REVERSE_SIGNAL,5.37722659632877,1.401882029308715,3.9753445670200547
95,SHORT,2025-09-04 03:00:00+00:00,2025-09-05 13:00:00+00:00,3542.92,3579.89,0.5645061136012103,REVERSE_SIGNAL,-20.86979101983663,1.4073044268569428,-22.277095446693572
96,LONG,2025-09-05 13:00:00+00:00,2025-09-08 02:00:00+00:00,3579.89,3598.4,0.5586763839112375,REVERSE_SIGNAL,10.341099866197128,1.403619384953169,8.93748048124396
97,SHORT,2025-09-08 02:00:00+00:00,2025-09-08 08:00:00+00:00,3598.4,3618.6,0.5558025789239662,REVERSE_SIGNAL,-11.227212094264017,1.4039295242329926,-12.63114161849701
98,LONG,2025-09-08 08:00:00+00:00,2025-09-09 21:00:00+00:00,3618.6,3637.55,0.5526999392030068,REVERSE_SIGNAL,10.473663847897129,1.403665782346764,9.069998065550365
99,SHORT,2025-09-09 21:00:00+00:00,2025-09-12 03:00:00+00:00,3637.55,3644.0,0.5498206210223914,REVERSE_SIGNAL,-3.5463430055943244,1.401241220051958,-4.947584225646282
100,LONG,2025-09-12 03:00:00+00:00,2025-09-13 02:00:00+00:00,3644.0,3630.22,0.5488474204171241,REVERSE_SIGNAL,-7.56311745334808,1.3973529088913281,-8.960470362239409
101,SHORT,2025-09-13 02:00:00+00:00,2025-09-14 06:00:00+00:00,3630.22,3646.94,0.5509307975825157,REVERSE_SIGNAL,-9.211562935579803,1.4032240470274528,-10.614786982607257
