trade_no,side,entry_time,exit_time,entry_price,exit_price,quantity,exit_reason,gross_pnl,fee_usd,net_pnl
113,SHORT,2025-10-02 15:00:00+00:00,2025-10-03 13:00:00+00:00,3849.0,3879.792,0.5196154845414394,HARD_SL,-15.999999999999957,1.4056,-17.405599999999957
114,LONG,2025-10-03 16:00:00+00:00,2025-10-09 17:00:00+00:00,3888.4,3981.65,0.5143503754757741,REVERSE_SIGNAL,47.963172513115936,1.4167871103795906,46.54638540273635
115,SHORT,2025-10-09 17:00:00+00:00,2025-10-10 09:00:00+00:00,3981.65,4013.5032,0.502304321072922,HARD_SL,-16.000000000000007,1.4056,-17.405600000000007
116,LONG,2025-10-10 20:00:00+00:00,2025-10-10 21:00:00+00:00,4023.56,3991.3715199999997,0.49707224448001275,HARD_SL,-16.000000000000128,1.3944,-17.39440000000013
117,SHORT,2025-10-11 02:00:00+00:00,2025-10-11 06:00:00+00:00,3961.73,3993.42384,0.5048299606485046,HARD_SL,-15.999999999999956,1.4056,-17.405599999999957
118,LONG,2025-10-12 23:00:00+00:00,2025-10-14 06:00:00+00:00,4043.52,4129.03,0.4946185501741057,REVERSE_SIGNAL,42.294832225387665,1.4148031912788857,40.88002903410878
119,SHORT,2025-10-14 06:00:00+00:00,2025-10-14 16:00:00+00:00,4129.03,4162.06224,0.48437526489272303,HARD_SL,-16.000000000000224,1.4056,-17.405600000000224
120,LONG,2025-10-15 02:00:00+00:00,2025-10-16 23:00:00+00:00,4195.86,4403.58,0.4766603270843165,REVERSE_SIGNAL,99.01188314195434,1.4346541590996842,97.57722898285466
121,SHORT,2025-10-16 23:00:00+00:00,2025-10-16 23:00:00+00:00,4403.58,4438.80864,0.4541759205010469,HARD_SL,-16.00000000000012,1.4056,-17.40560000000012
122,LONG,2025-10-17 00:00:00+00:00,2025-10-17 00:00:00+00:00,4437.76,4402.25792,0.4506778194404384,HARD_SL,-16.000000000000092,1.3944,-17.394400000000093
123,SHORT,2025-10-17 17:00:00+00:00,2025-10-17 18:00:00+00:00,4209.98,4243.659839999999,0.47506163924769246,HARD_SL,-15.9999999999999,1.4056,-17.4055999999999
124,LONG,2025-10-20 04:00:00+00:00,2025-10-20 06:00:00+00:00,4259.57,4225.493439999999,0.46953096204546474,HARD_SL,-16.000000000000203,1.3944,-17.394400000000203
125,SHORT,2025-10-21 08:00:00+00:00,2025-10-24 16:00:00+00:00,4297.82,4121.31,0.46535220181394293,REVERSE_SIGNAL,82.13931714217874,1.3712512390002374,80.7680659031785
126,LONG,2025-10-24 16:00:00+00:00,2025-10-24 20:00:00+00:00,4121.31,4088.3395200000004,0.48528259218549435,HARD_SL,-15.999999999999975,1.3944,-17.394399999999976
127,SHORT,2025-10-26 23:00:00+00:00,2025-10-29 01:00:00+00:00,4074.07,3979.43,0.4909095818186727,REVERSE_SIGNAL,46.45968282331935,1.3837391110118382,45.075943712307506
128,LONG,2025-10-29 01:00:00+00:00,2025-10-29 02:00:00+00:00,3979.43,3947.59456,0.5025845410021034,HARD_SL,-15.999999999999918,1.3944,-17.39439999999992
129,SHORT,2025-10-29 20:00:00+00:00,2025-10-30 04:00:00+00:00,3947.86,3979.44288,0.5066035776344653,HARD_SL,-15.999999999999966,1.4056,-17.405599999999968
130,LONG,2025-10-30 19:00:00+00:00,2025-10-31 16:00:00+00:00,4009.21,3977.13632,0.49885139466378664,HARD_SL,-15.999999999999984,1.3944,-17.394399999999983
131,SHORT,2025-11-03 00:00:00+00:00,2025-11-03 03:00:00+00:00,3976.64,3999.87,0.5029371529733645,REVERSE_SIGNAL,-11.683230063571266,1.40408913052225,-13.087319194093515
132,LONG,2025-11-03 03:00:00+00:00,2025-11-04 02:00:00+00:00,3999.87,3967.87104,0.5000162505281421,HARD_SL,-15.999999999999948,1.3944,-17.394399999999948
133,SHORT,2025-11-04 06:00:00+00:00,2025-11-05 17:00:00+00:00,3965.07,3980.43,0.5044047141664586,REVERSE_SIGNAL,-7.747656409596639,1.402711679743359,-9.150368089339999
134,LONG,2025-11-05 17:00:00+00:00,2025-11-06 16:00:00+00:00,3980.43,3972.5,0.5024582771208136,REVERSE_SIGNAL,-3.9844941375679697,1.3986054270518513,-5.383099564619821
135,SHORT,2025-11-06 16:00:00+00:00,2025-11-07 09:00:00+00:00,3972.5,4004.28,0.5034612964128382,HARD_SL,-16.0000000000001,1.4056,-17.4056000000001
136,LONG,2025-11-10 00:00:00+00:00,2025-11-11 16:00:00+00:00,4003.24,4093.66,0.4995953277844946,REVERSE_SIGNAL,45.173409538274036,1.415810693338396,43.75759884493564
137,SHORT,2025-11-11 16:00:00+00:00,2025-11-11 23:00:00+00:00,4093.66,4126.40928,0.4885603591895761,HARD_SL,-16.0,1.4056,-17.4056
138,LONG,2025-11-12 16:00:00+00:00,2025-11-13 18:00:00+00:00,4169.39,4136.03488,0.47968647691868593,HARD_SL,-16.00000000000008,1.3944,-17.394400000000083
139,SHORT,2025-11-13 19:00:00+00:00,2025-11-13 23:00:00+00:00,4143.78,4176.93024,0.48265110599500943,HARD_SL,-15.999999999999972,1.4056,-17.40559999999997
140,LONG,2025-11-16 03:00:00+00:00,2025-11-16 23:00:00+00:00,4106.27,4073.4198400000005,0.4870600325843161,HARD_SL,-15.999999999999979,1.3944,-17.39439999999998
141,SHORT,2025-11-17 01:00:00+00:00,2025-11-18 18:00:00+00:00,4076.72,4061.8,0.49059047469534334,REVERSE_SIGNAL,7.319609882454335,1.3974381365411408,5.922171745913195
142,LONG,2025-11-18 18:00:00+00:00,2025-11-19 20:00:00+00:00,4061.8,4062.6,0.4923925353291644,REVERSE_SIGNAL,0.39391402826319716,1.400137869909892,-1.0062238416466949
143,SHORT,2025-11-19 20:00:00+00:00,2025-11-19 23:00:00+00:00,4062.6,4095.1008,0.49229557426278736,HARD_SL,-16.000000000000124,1.4056,-17.405600000000124
144,LONG,2025-11-21 17:00:00+00:00,2025-11-21 20:00:00+00:00,4097.44,4064.6604799999996,0.4881096489515405,HARD_SL,-16.000000000000025,1.3944,-17.394400000000026
145,SHORT,2025-11-23 15:00:00+00:00,2025-11-24 12:00:00+00:00,4041.01,4063.65,0.49492577350711825,REVERSE_SIGNAL,-11.205119512201094,1.4039217918292703,-12.609041304030365
146,LONG,2025-11-24 12:00:00+00:00,2025-12-02 04:00:00+00:00,4063.65,4228.76,0.49216837079965053,REVERSE_SIGNAL,81.26191970273037,1.4284416718959556,79.83347803083441
147,SHORT,2025-12-02 04:00:00+00:00,2025-12-03 14:00:00+00:00,4228.76,4241.0,0.47295188187553794,REVERSE_SIGNAL,-5.788931034156481,1.4020261258619546,-7.190957160018436
148,LONG,2025-12-03 14:00:00+00:00,2025-12-03 16:00:00+00:00,4241.0,4207.072,0.47158688988446124,HARD_SL,-15.999999999999947,1.3944,-17.394399999999948
149,SHORT,2025-12-04 06:00:00+00:00,2025-12-04 16:00:00+00:00,4185.79,4219.27632,0.4778070567324209,HARD_SL,-15.999999999999991,1.4056,-17.405599999999993
150,LONG,2025-12-05 06:00:00+00:00,2025-12-05 19:00:00+00:00,4225.56,4215.85,0.4733100464790465,REVERSE_SIGNAL,-4.595840551311559,1.398391455807041,-5.9942320071186
151,SHORT,2025-12-05 19:00:00+00:00,2025-12-08 00:00:00+00:00,4215.85,4212.25,0.4744001802720685,REVERSE_SIGNAL,1.7078406489796192,1.3994022557728572,0.30843839320676203
152,LONG,2025-12-08 00:00:00+00:00,2025-12-08 15:00:00+00:00,4212.25,4204.83,0.4748056264466734,REVERSE_SIGNAL,-3.523057748234351,1.398766929788118,-4.921824678022469
153,SHORT,2025-12-08 15:00:00+00:00,2025-12-09 16:00:00+00:00,4204.83,4214.84,0.47564348618136765,REVERSE_SIGNAL,-4.761191296675594,1.4016664169538366,-6.16285771362943
154,LONG,2025-12-09 16:00:00+00:00,2025-12-12 16:00:00+00:00,4214.84,4300.83,0.47451386054986666,REVERSE_SIGNAL,40.80344686868293,1.4142812064040389,39.38916566227889
155,SHORT,2025-12-12 16:00:00+00:00,2025-12-15 01:00:00+00:00,4300.83,4335.23664,0.46502651813719675,HARD_SL,-16.00000000000007,1.4056,-17.40560000000007
156,LONG,2025-12-15 02:00:00+00:00,2025-12-15 16:00:00+00:00,4334.41,4331.07,0.46142381546738775,REVERSE_SIGNAL,-1.5411555436611422,1.3994605955597186,-2.940616139220861
157,SHORT,2025-12-15 16:00:00+00:00,2025-12-16 14:00:00+00:00,4331.07,4323.41,0.4617796526031674,REVERSE_SIGNAL,3.537232138940195,1.3987619687513708,2.138470170188824
158,LONG,2025-12-16 14:00:00+00:00,2025-12-23 15:00:00+00:00,4323.41,4461.6,0.4625978105245628,REVERSE_SIGNAL,63.926391436389565,1.4223742370027364,62.50401719938683
159,SHORT,2025-12-23 15:00:00+00:00,2025-12-23 18:00:00+00:00,4461.6,4497.2928,0.4482696790389098,HARD_SL,-15.999999999999913,1.4056,-17.405599999999914
160,LONG,2025-12-23 21:00:00+00:00,2025-12-24 14:00:00+00:00,4512.71,4476.60832,0.4431926713659863,HARD_SL,-15.999999999999893,1.3944,-17.394399999999894
161,SHORT,2025-12-24 15:00:00+00:00,2025-12-25 23:00:00+00:00,4480.05,4515.8904,0.44642358902244395,HARD_SL,-16.00000000000002,1.4056,-17.40560000000002
162,LONG,2025-12-26 00:00:00+00:00,2025-12-28 14:00:00+00:00,4514.34,4555.09,0.443032647075763,REVERSE_SIGNAL,18.053580368337343,1.406318753128918,16.647261615208425
