trade_no,side,entry_time,exit_time,entry_price,exit_price,quantity,exit_reason,votes_for,votes_total,gross_pnl,fee_usd,net_pnl
112,SHORT,2025-10-02 15:00:00+00:00,2025-10-03 16:00:00+00:00,3849.0,3888.4,0.519615,REVERSE_SIGNAL,2,3,-20.4729,1.4072,-21.88
113,LONG,2025-10-03 16:00:00+00:00,2025-10-09 17:00:00+00:00,3888.4,3981.65,0.51435,REVERSE_SIGNAL,3,3,47.9632,1.4168,46.5464
114,SHORT,2025-10-09 17:00:00+00:00,2025-10-10 20:00:00+00:00,3981.65,4023.56,0.502304,REVERSE_SIGNAL,3,3,-21.0516,1.4074,-22.4589
115,LONG,2025-10-10 20:00:00+00:00,2025-10-11 02:00:00+00:00,4023.56,3961.73,0.497072,REVERSE_SIGNAL,3,3,-30.734,1.3892,-32.1232
116,SHORT,2025-10-11 02:00:00+00:00,2025-10-12 23:00:00+00:00,3961.73,4043.52,0.50483,REVERSE_SIGNAL,3,3,-41.29,1.4145,-42.7045
117,LONG,2025-10-12 23:00:00+00:00,2025-10-14 06:00:00+00:00,4043.52,4129.03,0.494619,REVERSE_SIGNAL,3,3,42.2948,1.4148,40.88
118,LONG,2025-10-15 02:00:00+00:00,2025-10-16 23:00:00+00:00,4195.86,4403.58,0.47666,REVERSE_SIGNAL,3,3,99.0119,1.4347,97.5772
119,LONG,2025-10-17 00:00:00+00:00,2025-10-17 17:00:00+00:00,4437.76,4209.98,0.450678,REVERSE_SIGNAL,3,3,-102.6554,1.3641,-104.0195
120,SHORT,2025-10-17 17:00:00+00:00,2025-10-20 04:00:00+00:00,4209.98,4259.57,0.475062,REVERSE_SIGNAL,3,3,-23.5583,1.4082,-24.9666
121,LONG,2025-10-20 04:00:00+00:00,2025-10-21 08:00:00+00:00,4259.57,4297.82,0.469531,REVERSE_SIGNAL,3,3,17.9596,1.4063,16.5533
122,SHORT,2025-10-21 08:00:00+00:00,2025-10-24 16:00:00+00:00,4297.82,4121.31,0.465352,REVERSE_SIGNAL,2,3,82.1393,1.3713,80.7681
123,LONG,2025-10-24 16:00:00+00:00,2025-10-26 23:00:00+00:00,4121.31,4074.07,0.485283,REVERSE_SIGNAL,2,3,-22.9247,1.392,-24.3167
124,SHORT,2025-10-26 23:00:00+00:00,2025-10-29 01:00:00+00:00,4074.07,3979.43,0.49091,REVERSE_SIGNAL,3,3,46.4597,1.3837,45.0759
