signal_time,signal_side,hyper_turbo,alpha_1,alpha_2_nr,votes_for,votes_total,decision
2026-05-21 12:00:00+00:00,SHORT,SHORT,SHORT,SHORT,3,3,ENTER
2026-05-23 20:00:00+00:00,LONG,LONG,LONG,LONG,3,3,ENTER
2026-05-24 14:00:00+00:00,SHORT,SHORT,LONG,SHORT,2,3,ENTER
2026-05-24 22:00:00+00:00,LONG,LONG,SHORT,LONG,2,3,ENTER
2026-05-26 01:00:00+00:00,SHORT,SHORT,SHORT,SHORT,3,3,ENTER
2026-05-28 14:00:00+00:00,LONG,LONG,LONG,LONG,3,3,ENTER
2026-06-01 01:00:00+00:00,SHORT,SHORT,LONG,SHORT,2,3,ENTER
2026-06-02 04:00:00+00:00,LONG,LONG,LONG,LONG,3,3,ENTER
2026-06-02 17:00:00+00:00,SHORT,SHORT,LONG,SHORT,2,3,ENTER
2026-06-04 11:00:00+00:00,LONG,LONG,LONG,LONG,3,3,ENTER
2026-06-05 01:00:00+00:00,SHORT,SHORT,SHORT,SHORT,3,3,ENTER
2026-06-07 06:00:00+00:00,LONG,LONG,LONG,LONG,3,3,ENTER
2026-06-08 02:00:00+00:00,SHORT,SHORT,LONG,SHORT,2,3,ENTER
2026-06-09 05:00:00+00:00,LONG,LONG,LONG,LONG,3,3,ENTER
2026-06-09 15:00:00+00:00,SHORT,SHORT,SHORT,SHORT,3,3,ENTER
2026-06-11 17:00:00+00:00,LONG,LONG,LONG,LONG,3,3,ENTER
2026-06-15 20:00:00+00:00,SHORT,SHORT,LONG,SHORT,2,3,ENTER
2026-06-16 12:00:00+00:00,LONG,LONG,LONG,LONG,3,3,ENTER
2026-06-17 18:00:00+00:00,SHORT,SHORT,SHORT,SHORT,3,3,ENTER
2026-06-22 00:00:00+00:00,LONG,LONG,LONG,LONG,3,3,ENTER
2026-06-23 01:00:00+00:00,SHORT,SHORT,SHORT,SHORT,3,3,ENTER
2026-06-26 09:00:00+00:00,LONG,LONG,LONG,LONG,3,3,ENTER
2026-06-28 22:00:00+00:00,SHORT,SHORT,SHORT,SHORT,3,3,ENTER
2026-06-30 06:00:00+00:00,LONG,LONG,SHORT,LONG,2,3,ENTER
