symbol,trades,longs,shorts,wr_fee,wr_nofee,net,fee,gross,profit_factor,sharpe,max_dd_pct,results
YGG,258,258,0,33.33,39.53,342.4804,198.984,541.4644,1.6002,2.2958,0.4604,"{""SL"": 219, ""TP"": 39}"
CFX,233,233,0,32.19,39.91,338.5387,173.7148,512.2535,1.7991,2.5338,0.3575,"{""SL"": 197, ""TP"": 36}"
LQTY,232,232,0,36.21,45.26,335.4731,171.276,506.7491,1.8383,2.3848,0.4333,"{""SL"": 200, ""TP"": 32}"
QTUM,281,281,0,34.88,47.33,331.329,212.4564,543.7854,1.7975,2.2633,0.682,"{""SL"": 237, ""TP"": 44}"
FET,234,234,0,32.48,37.61,327.5077,176.3829,503.8906,1.6146,2.1057,0.7219,"{""SL"": 201, ""TP"": 33}"
1000SATS,234,234,0,32.05,35.9,326.0809,175.0238,501.1047,1.5675,1.9518,0.7669,"{""SL"": 198, ""TP"": 36}"
TRB,223,223,0,38.57,46.64,323.5509,166.8692,490.42,1.7796,2.5799,0.4428,"{""SL"": 185, ""TP"": 38}"
GTC,256,256,0,37.89,46.09,320.2125,190.1379,510.3504,1.7773,2.5043,0.3797,"{""SL"": 223, ""TP"": 33}"
NFP,264,264,0,28.03,35.98,317.8891,196.6116,514.5007,1.5343,2.045,0.6336,"{""SL"": 227, ""TP"": 37}"
CHZ,307,307,0,36.16,43.32,312.1866,225.2143,537.4009,1.6582,2.4945,0.3635,"{""SL"": 262, ""TP"": 45}"
PEOPLE,258,258,0,33.33,36.82,312.1252,190.989,503.1142,1.4821,1.7523,1.7071,"{""SL"": 221, ""TP"": 37}"
YFI,267,267,0,33.33,46.82,312.0512,198.6675,510.7187,1.8906,2.2144,0.4318,"{""SL"": 220, ""TP"": 47}"
JASMY,208,208,0,30.29,35.58,310.1897,155.5862,465.7759,1.6249,1.8907,0.6662,"{""SL"": 176, ""TP"": 32}"
PYTH,270,270,0,36.67,41.85,303.1148,200.8381,503.9529,1.5611,2.2856,0.9332,"{""SL"": 230, ""TP"": 40}"
ZEC,236,236,0,32.2,40.25,295.225,171.7414,466.9665,1.7299,2.3008,0.7293,"{""SL"": 197, ""TP"": 39}"
NEO,289,289,0,35.64,42.56,294.4554,217.4146,511.87,1.5997,2.3592,0.5556,"{""SL"": 241, ""TP"": 48}"
FIL,305,305,0,34.43,43.93,291.1735,230.3512,521.5247,1.5647,2.4339,0.4926,"{""SL"": 253, ""TP"": 52}"
HIGH,257,257,0,33.07,41.25,288.3959,189.5407,477.9367,1.5565,2.1508,0.5685,"{""SL"": 217, ""TP"": 40}"
UNI,250,250,0,34.0,40.8,283.9008,184.391,468.2918,1.6966,2.5025,0.6965,"{""SL"": 211, ""TP"": 39}"
ARB,275,275,0,36.36,43.64,275.4423,205.0453,480.4875,1.5994,2.3061,0.817,"{""SL"": 232, ""TP"": 43}"
TURBO,137,137,0,39.42,42.34,275.1887,100.3567,375.5454,1.7875,1.9459,0.5568,"{""SL"": 116, ""TP"": 21}"
MOODENG,38,38,0,42.11,44.74,270.2756,28.3794,298.655,2.9838,1.8812,0.5018,"{""SL"": 32, ""TP"": 6}"
RUNE,305,305,0,33.44,44.26,261.6166,229.7547,491.3713,1.5176,2.0844,0.8895,"{""SL"": 270, ""TP"": 35}"
ORDI,262,262,0,31.68,40.46,259.7076,193.3305,453.0381,1.4481,1.8941,1.1534,"{""SL"": 222, ""TP"": 40}"
ID,242,242,0,34.71,41.74,256.1428,180.8255,436.9683,1.5699,2.0281,0.2965,"{""SL"": 205, ""TP"": 37}"
ALGO,261,261,0,32.18,40.23,254.0705,192.8969,446.9673,1.5109,1.8196,0.4145,"{""SL"": 216, ""TP"": 45}"
XAI,283,283,0,32.16,38.87,249.0341,206.6926,455.7267,1.4223,1.8297,0.8085,"{""SL"": 244, ""TP"": 39}"
STORJ,282,282,0,35.46,45.04,248.8301,206.5824,455.4125,1.5723,2.0914,0.5674,"{""SL"": 250, ""TP"": 32}"
EDU,264,264,0,30.68,37.88,247.7934,197.5396,445.333,1.4921,1.9105,0.583,"{""SL"": 221, ""TP"": 43}"
STG,297,297,0,35.35,44.78,247.4654,214.6792,462.1445,1.5791,1.898,0.87,"{""SL"": 258, ""TP"": 39}"
ZIL,312,312,0,36.22,41.67,244.6468,232.0947,476.7416,1.5163,2.0618,0.5552,"{""SL"": 270, ""TP"": 42}"
MANA,303,303,0,33.99,40.26,243.5897,226.9958,470.5854,1.473,2.1748,0.8079,"{""SL"": 252, ""TP"": 51}"
VET,272,272,0,32.35,41.54,241.5957,200.6671,442.2627,1.5673,1.8779,0.307,"{""SL"": 232, ""TP"": 40}"
PENDLE,263,263,0,31.94,37.26,237.1194,199.1118,436.2313,1.3953,1.5857,0.9449,"{""SL"": 231, ""TP"": 32}"
STRK,209,209,0,32.54,40.67,234.4957,152.3381,386.8337,1.565,1.954,0.4983,"{""SL"": 177, ""TP"": 32}"
TIA,233,233,0,36.48,40.77,233.5874,171.457,405.0445,1.4697,1.8528,0.6093,"{""SL"": 198, ""TP"": 35}"
LDO,200,200,0,32.5,40.0,230.9323,144.7808,375.713,1.5802,1.9011,0.391,"{""SL"": 171, ""TP"": 29}"
API3,251,251,0,35.06,42.63,230.7357,184.0486,414.7843,1.5198,2.0026,0.4429,"{""SL"": 217, ""TP"": 34}"
