trade_no,symbol,entry_time,exit_time,side,exit_reason,entry_price,exit_price,quantity,pnl_usd,fee_usd,net_pnl,result,balance_after
326,BTCUSDT,2024-08-09 20:30:00+00:00,2024-08-09 20:30:00+00:00,LONG,TP,60709.8,60770.5098,0.82359,50.0,35.0,15.0,WIN,-10360.0
327,BTCUSDT,2024-08-09 21:20:00+00:00,2024-08-09 21:20:00+00:00,SHORT,TP,59980.1,59920.1199,0.83361,50.0,35.0,15.0,WIN,-10345.0
328,BTCUSDT,2024-08-09 22:00:00+00:00,2024-08-09 22:00:00+00:00,LONG,TP,60696.6,60757.2966,0.823769,50.0,35.0,15.0,WIN,-10330.0
329,BTCUSDT,2024-08-10 03:25:00+00:00,2024-08-10 03:25:00+00:00,SHORT,TP,60371.3,60310.9287,0.828208,50.0,35.0,15.0,WIN,-10315.0
330,BTCUSDT,2024-08-10 09:15:00+00:00,2024-08-10 09:30:00+00:00,LONG,TP,60827.9,60888.7279,0.821991,50.0,35.0,15.0,WIN,-10300.0
331,BTCUSDT,2024-08-10 19:40:00+00:00,2024-08-10 21:20:00+00:00,LONG,TP,61065.0,61126.065,0.8188,50.0,35.0,15.0,WIN,-10285.0
332,BTCUSDT,2024-08-12 07:50:00+00:00,2024-08-12 08:00:00+00:00,LONG,TP,58715.9,58774.6159,0.851558,50.0,35.0,15.0,WIN,-10270.0
333,BTCUSDT,2024-08-12 10:50:00+00:00,2024-08-12 10:50:00+00:00,LONG,TP,58721.0,58779.721,0.851484,50.0,35.0,15.0,WIN,-10255.0
334,BTCUSDT,2024-08-12 18:40:00+00:00,2024-08-12 18:40:00+00:00,SHORT,TP,59016.3,58957.2837,0.847224,50.0,35.0,15.0,WIN,-10240.0
335,BTCUSDT,2024-08-12 21:30:00+00:00,2024-08-13 09:20:00+00:00,SHORT,TP,58753.8,58695.0462,0.851009,50.0,35.0,15.0,WIN,-10225.0
336,BTCUSDT,2024-08-13 14:50:00+00:00,2024-08-13 14:55:00+00:00,LONG,TP,59587.7,59647.2877,0.839099,50.0,35.0,15.0,WIN,-10210.0
337,BTCUSDT,2024-08-14 00:05:00+00:00,2024-08-14 13:40:00+00:00,SHORT,TP,60404.8,60344.3952,0.827749,50.0,35.0,15.0,WIN,-10195.0
338,BTCUSDT,2024-08-14 13:50:00+00:00,2024-08-14 13:50:00+00:00,SHORT,TP,59902.7,59842.7973,0.834687,50.0,35.0,15.0,WIN,-10180.0
339,BTCUSDT,2024-08-15 11:40:00+00:00,2024-08-15 11:50:00+00:00,LONG,TP,58771.0,58829.771,0.85076,50.0,35.0,15.0,WIN,-10165.0
340,BTCUSDT,2024-08-15 18:20:00+00:00,2024-08-15 18:20:00+00:00,SHORT,TP,57573.8,57516.2262,0.868451,50.0,35.0,15.0,WIN,-10150.0
341,BTCUSDT,2024-08-16 02:35:00+00:00,2024-08-16 02:35:00+00:00,LONG,TP,58176.5,58234.6765,0.859454,50.0,35.0,15.0,WIN,-10135.0
342,BTCUSDT,2024-08-16 12:40:00+00:00,2024-08-16 12:40:00+00:00,SHORT,TP,57656.2,57598.5438,0.867209,50.0,35.0,15.0,WIN,-10120.0
343,BTCUSDT,2024-08-16 13:35:00+00:00,2024-08-16 17:30:00+00:00,LONG,TP,58748.0,58806.748,0.851093,50.0,35.0,15.0,WIN,-10105.0
344,BTCUSDT,2024-08-16 17:35:00+00:00,2024-08-16 17:35:00+00:00,LONG,TP,58747.9,58806.6479,0.851094,50.0,35.0,15.0,WIN,-10090.0
345,BTCUSDT,2024-08-18 17:15:00+00:00,2024-08-18 17:20:00+00:00,SHORT,TP,59683.8,59624.1162,0.837748,50.0,35.0,15.0,WIN,-10075.0
346,BTCUSDT,2024-08-19 07:10:00+00:00,2024-08-19 13:15:00+00:00,LONG,TP,58689.0,58747.689,0.851948,50.0,35.0,15.0,WIN,-10060.0
347,BTCUSDT,2024-08-19 13:20:00+00:00,2024-08-19 13:20:00+00:00,LONG,TP,58803.5,58862.3035,0.85029,50.0,35.0,15.0,WIN,-10045.0
348,BTCUSDT,2024-08-19 17:00:00+00:00,2024-08-19 17:20:00+00:00,LONG,TP,58670.2,58728.8702,0.852221,50.0,35.0,15.0,WIN,-10030.0
349,BTCUSDT,2024-08-20 11:30:00+00:00,2024-08-20 11:30:00+00:00,SHORT,TP,60611.2,60550.5888,0.82493,50.0,35.0,15.0,WIN,-10015.0
350,BTCUSDT,2024-08-21 01:30:00+00:00,2024-08-21 01:30:00+00:00,SHORT,TP,58983.0,58924.017,0.847702,50.0,35.0,15.0,WIN,-10000.0
351,BTCUSDT,2024-08-21 04:35:00+00:00,2024-08-21 06:05:00+00:00,LONG,TP,59345.0,59404.345,0.842531,50.0,35.0,15.0,WIN,-9985.0
352,BTCUSDT,2024-08-21 13:40:00+00:00,2024-08-21 13:40:00+00:00,SHORT,TP,59203.4,59144.1966,0.844546,50.0,35.0,15.0,WIN,-9970.0
353,BTCUSDT,2024-08-21 16:30:00+00:00,2024-08-21 16:30:00+00:00,LONG,TP,59565.0,59624.565,0.839419,50.0,35.0,15.0,WIN,-9955.0
354,BTCUSDT,2024-08-22 02:35:00+00:00,2024-08-22 02:35:00+00:00,SHORT,TP,60672.8,60612.1272,0.824093,50.0,35.0,15.0,WIN,-9940.0
355,BTCUSDT,2024-08-22 14:50:00+00:00,2024-08-22 15:30:00+00:00,SHORT,TP,60343.9,60283.5561,0.828584,50.0,35.0,15.0,WIN,-9925.0
